,Year,Count,Added,Removed
17,1976,90,"['Honduras', 'Andorra', 'Cayman Islands', 'Antigua', 'Nepal', 'Papua New Guinea']","['Sudan', 'Togo', 'Sri Lanka', 'Benin', 'Afghanistan', 'Vietnam', 'Malawi', 'Somalia', 'Madagascar', 'Kenya', 'Algeria', 'Malta', 'Ghana', 'Liberia', 'Taiwan', 'Zambia', 'Republic of Congo', 'Guyana', 'Chad', 'El Salvador', 'Mali', 'Uganda', 'Nigeria', 'Ethiopia', 'Tanzania', 'Cambodia', 'Lesotho', 'Burkina Faso', 'Myanmar', 'Gabon', 'Syria', 'Swaziland']"
18,1980,79,"['Sri Lanka', 'Benin', 'Afghanistan', 'Botswana', 'Vietnam', 'Madagascar', 'Algeria', 'Malta', 'Laos', 'Guinea', 'Jordan', 'Zambia', 'Republic of Congo', 'Guyana', 'Seychelles', 'Angola', 'Mali', 'Uganda', 'Nigeria', 'Mozambique', 'Ethiopia', 'Tanzania', 'Lesotho', 'Myanmar', 'Cyprus', 'Zimbabwe', 'Syria', 'Sierra Leone', 'Iraq']","['Malaysia', 'Barbados', 'Chile', 'Suriname', 'Virgin Islands, US', 'Philippines', 'Fiji', 'Curacao', 'Antigua', 'Bahamas', 'Uruguay', 'Thailand', 'Pakistan', 'Boliva', 'Monaco', 'Turkey', 'Belize', 'Morocco', 'Saudi Arabia', 'Papua New Guinea', 'Liechtenstein', 'Paraguay', 'China', 'Japan', 'USA', 'Panama', 'Norway', 'Canada', 'Israel', 'Indonesia', 'Argentina', 'Tunisia', 'Haiti', 'Egypt', 'Ivory Coast', 'Iran', 'South Korea', 'Bermuda', 'Cayman Islands', 'Honduras']"
19,1984,136,"['Sudan', 'Bahrain', 'Mauritius', 'Togo', 'Malaysia', 'Barbados', 'Chile', 'Suriname', 'Djibouti', 'Virgin Islands, US', 'Virgin Islands, British', 'Philippines', 'Fiji', 'Curacao', 'Malawi', 'Antigua', 'Bahamas', 'Uruguay', 'Somalia', 'Samoa', 'Thailand', 'Qatar', 'Boliva', 'Kenya', 'Turkey', 'Monaco', 'Pakistan', 'Morocco', 'Bangladesh', 'Belize', 'Solomon Islands', 'Central African Republic', 'Saudi Arabia', 'Papua New Guinea', 'Liechtenstein', 'Paraguay', 'China', 'Bhutan', 'Japan', 'Ghana', 'USA', 'Liberia', 'Rwanda', 'Panama', 'Taiwan', 'Democratic Republic of the Congo', 'Chad', 'Gambia', 'Norway', 'Canada', 'El Salvador', 'Israel', 'Yemen', 'Indonesia', 'Argentina', 'Tunisia', 'Haiti', 'Egypt', 'Ivory Coast', 'Oman', 'Niger', 'Gabon', 'South Korea', 'Bermuda', 'Grenada', 'Equatorial Guinea', 'Cayman Islands', 'Swaziland', 'Mauritania', 'Honduras']","['Bulgaria', 'Poland', 'Russia', 'Mongolia', 'Cuba', 'Afghanistan', 'Hungary', 'Laos', 'Angola', 'Czech Republic', 'Vietnam', 'North Korea', 'Ethiopia']"
20,1988,153,"['Poland', 'United Arab Emirates', 'Vietnam', 'Tonga', 'Saint Vincent', 'Russia', 'Vanuatu', 'Laos', 'Czech Republic', 'Aruba', 'Bulgaria', 'Guam', 'Cook Islands', 'Angola', 'Maldives', 'Libya', 'Burkina Faso', 'Iran', 'Mongolia', 'Hungary', 'American Samoa']","['Niger', 'Madagascar', 'Nicaragua', 'Seychelles']"
21,1992,163,"['Namibia', 'Madagascar', 'Bosnia and Herzegovina', 'North Korea', 'Lithuania', 'Cuba', 'Seychelles', 'Albania', 'Croatia', 'South Africa', 'Estonia', 'Nicaragua', 'Latvia', 'Individual Olympic Athletes', 'Slovenia', 'Ethiopia']","['Somalia', 'Liberia', 'Serbia', 'Solomon Islands', 'Grenada', 'American Samoa']"
22,1996,190,"['Ukraine', 'Kazakhstan', 'Serbia', 'Palestine', 'Burundi', 'Kyrgyzstan', 'Somalia', 'Sao Tome and Principe', 'American Samoa', 'Comoros', 'Tajikistan', 'Macedonia', 'Liberia', 'Slovakia', 'Georgia', 'Belarus', 'Guinea-Bissau', 'Saint Kitts', 'Uzbekistan', 'Brunei', 'Cape Verde', 'Cambodia', 'Azerbaijan', 'Moldova', 'Nauru', 'Dominica', 'Saint Lucia', 'Grenada', 'Turkmenistan', 'Armenia']","['Bahrain', 'Individual Olympic Athletes', 'Lebanon']"
23,2000,194,"['Lebanon', 'Micronesia', 'Solomon Islands', 'Eritrea', 'Palau', 'Individual Olympic Athletes']","['Sierra Leone', 'Samoa']"
24,2004,199,"['Bahrain', 'Samoa', 'Niger', 'Afghanistan', 'Timor-Leste', 'Kiribati', 'Sierra Leone']","['Individual Olympic Athletes', 'Djibouti']"
25,2008,200,"[nan, 'Montenegro', 'Marshall Islands']","['Niger', 'Brunei']"
26,2012,202,"['Niger', 'Individual Olympic Athletes', 'Djibouti', 'Brunei']","['Somalia', 'Curacao']"
27,2016,200,"['Kosovo', 'South Sudan']","['Gambia', 'Liberia', 'Kuwait', 'Sierra Leone']"
